text,label
what's the time in this time zone,ask_time
what is the current time in california,ask_time
what day of the week is the twenty second march,ask_time
what is the current date,ask_time
what time is it day after tomorrow,ask_time
date and time,ask_time
what date is easter sunday this year,ask_time
please give me today's date,ask_time
what time is it on the east coast of the united states,ask_time
tell me current time,ask_time
what is the time in milwaukee,ask_time
please tell me the current date,ask_time
please show me today's date,ask_time
what is the time in canada now,ask_time
what day is the fifteenth,ask_time
what is the date for next tuesday,ask_time
what is the day today,ask_time
what day is it on fifth december,ask_time
which week is twenty third,ask_time
is there christmas on twenty second,ask_time
what is the date today,ask_time
hello what time it is now,ask_time
could you please tell me what time is in singapore,ask_time
what's the time for neighboring city,ask_time
what time i sit in china right now,ask_time
march tenth lands on what day of the week,ask_time
what is the time now,ask_time
what is the current time in london,ask_time
what is the time in beijing,ask_time
is it noon?,ask_time
what day is it day after tomorrow,ask_time
what is the day,ask_time
what is the day of the week,ask_time
tomorrow,ask_time
day after tomorrow,ask_time
what is the date,ask_time
time,ask_time
day before tomorrow,ask_time
what day is it today,ask_time
date,ask_time
what day is it day before tomorrow,ask_time
what day is it tomorrow,ask_time
what day is it,ask_time
Time check,ask_time
can you tell me the time please,ask_time
could you please tell me what time it is,ask_time
could you tell me what time it is right now,ask_time
how late is it?,ask_time
What's the hour?,ask_time
what's on the clock?,ask_time
what does the clock say?,ask_time
Tell me what time it is,ask_time
Time right now,ask_time
Update me on the time,ask_time
can I get the time?,ask_time
what day is it?,ask_time
can you tell me what day it is?,ask_time
Check today's date,ask_time
Check the time right now,ask_time
check what the time is,ask_time
give me the date,ask_time
Is it the weekend?,ask_time
absolutely,confirm_taken
affirmitive,confirm_taken
all done,confirm_taken
confirm,confirm_taken
confirmed,confirm_taken
Done,confirm_taken
Done!,confirm_taken
for sure,confirm_taken
heck yeah,confirm_taken
I already did,confirm_taken
I already took my dose right now,confirm_taken
i already took my dose this evening,confirm_taken
I already took my dose this evening!,confirm_taken
i already took my dose this evening.,confirm_taken
i already took my dose.,confirm_taken
i already took my medication,confirm_taken
i already took my medication this morning.,confirm_taken
i already took my medication!,confirm_taken
i already took my medicine,confirm_taken
i already took my medicine tonight,confirm_taken
I already took my medicine.,confirm_taken
I already took my meds,confirm_taken
I already took my pills,confirm_taken
i already took my pills right now,confirm_taken
I already took my pills?,confirm_taken
I certainly did,confirm_taken
I did,confirm_taken
I did indeed,confirm_taken
I have,confirm_taken
I have taken it,confirm_taken
i have taken my dose right now,confirm_taken
i have taken my dose!,confirm_taken
I have taken my dose.,confirm_taken
I have taken my medication,confirm_taken
I have taken my medication.,confirm_taken
i have taken my medicine,confirm_taken
i have taken my medicine this afternoon,confirm_taken
i have taken my meds,confirm_taken
i have taken my meds today!,confirm_taken
I have taken my meds.,confirm_taken
i have taken my pills,confirm_taken
I have taken my pills true,confirm_taken
I have taken my pills I did,confirm_taken
I just did,confirm_taken
I took it,confirm_taken
I took it this evening,confirm_taken
I took them,confirm_taken
I took it true,confirm_taken
i took it!,confirm_taken
I took my medicine,confirm_taken
I took my medicine!,confirm_taken
indeed,confirm_taken
indeed I did,confirm_taken
I've done that,confirm_taken
mark that as done,confirm_taken
medication taken,confirm_taken
medication taken right now,confirm_taken
Medication taken right now?,confirm_taken
Medication taken this evening,confirm_taken
Medication taken tonight,confirm_taken
Medication taken!,confirm_taken
medication taken?,confirm_taken
Of course,confirm_taken
Of course!,confirm_taken
ok,confirm_taken
sure,confirm_taken
sure thing,confirm_taken
sure yeah,confirm_taken
Swallowed it,confirm_taken
Swallowed it.,confirm_taken
Taken,confirm_taken
Taken!,confirm_taken
Taken.,confirm_taken
that's done,confirm_taken
that's right,confirm_taken
totally,confirm_taken
well yes of course,confirm_taken
without a doubt,confirm_taken
ya,confirm_taken
yass,confirm_taken
yea,confirm_taken
yeah,confirm_taken
yep,confirm_taken
Yes,confirm_taken
yes I did,confirm_taken
Yes!,confirm_taken
"yes, i have taken my dose",confirm_taken
"yes, i have taken my dose!",confirm_taken
"yes, i have taken my dose.",confirm_taken
"Yes, I have taken my medication",confirm_taken
"yes, i have taken my medication this afternoon",confirm_taken
"Yes, I have taken my medication!",confirm_taken
"Yes, I have taken my medicine",confirm_taken
"yes, i have taken my medicine right now",confirm_taken
"yes, i have taken my medicine!",confirm_taken
"yes, i have taken my meds",confirm_taken
"yes, i have taken my meds this afternoon!",confirm_taken
"yes, i have taken my meds this afternoon.",confirm_taken
"Yes, I have taken my meds truly",confirm_taken
"yes, i have taken my meds tonight",confirm_taken
"Yes, I have taken my pills",confirm_taken
"Yes, I have taken my pills right now",confirm_taken
"Yes, I took it",confirm_taken
"Yes, I took it.",confirm_taken
"yes, it's done",confirm_taken
"yes, it's taken",confirm_taken
yessir,confirm_taken
yis,confirm_taken
yiss,confirm_taken
you bet,confirm_taken
you got it,confirm_taken
you are correct,confirm_taken
that would be correct,confirm_taken
that would be true,confirm_taken
that is true,confirm_taken
TRUE,confirm_taken
okay,confirm_taken
um absolutely,confirm_taken
um affirmitive,confirm_taken
um all done,confirm_taken
um confirm,confirm_taken
um confirmed,confirm_taken
um Done,confirm_taken
um heck yeah,confirm_taken
um I already did,confirm_taken
um I already took my dose right now,confirm_taken
um i already took my dose this evening,confirm_taken
um I already took my dose this evening!,confirm_taken
um i already took my dose this evening.,confirm_taken
um i already took my dose.,confirm_taken
um i already took my medication,confirm_taken
um i already took my medication this morning.,confirm_taken
um i already took my medication!,confirm_taken
um i already took my medicine,confirm_taken
um i already took my medicine tonight,confirm_taken
um I already took my medicine.,confirm_taken
um I already took my meds,confirm_taken
um I already took my pills,confirm_taken
um i already took my pills right now,confirm_taken
um I already took my pills?,confirm_taken
um I certainly did,confirm_taken
um I did,confirm_taken
um I did indeed,confirm_taken
um I have,confirm_taken
um I have taken it,confirm_taken
um I have taken it!,confirm_taken
um i have taken my dose right now,confirm_taken
um i have taken my dose!,confirm_taken
um I have taken my dose.,confirm_taken
um i have taken my dose?,confirm_taken
um I have taken my medication,confirm_taken
um i have taken my medicine this afternoon,confirm_taken
um I have taken my medicine this morning,confirm_taken
um i have taken my meds,confirm_taken
um i have taken my meds it is true,confirm_taken
um I have taken my meds.,confirm_taken
um i have taken my pills,confirm_taken
um I have taken my pills true,confirm_taken
um i have taken my pills tonight.,confirm_taken
um I just did,confirm_taken
um I took it,confirm_taken
um I took it this evening,confirm_taken
um i took it!,confirm_taken
um I took my medicine,confirm_taken
um I took my medicine!,confirm_taken
um indeed,confirm_taken
um indeed I did,confirm_taken
um I've done that,confirm_taken
um mark that as done,confirm_taken
um medication taken,confirm_taken
um of course,confirm_taken
um ok,confirm_taken
um sure,confirm_taken
um sure thing,confirm_taken
um sure yeah,confirm_taken
um Taken,confirm_taken
um that's done,confirm_taken
um that's right,confirm_taken
um totally,confirm_taken
um well yes of course,confirm_taken
um ya,confirm_taken
um yass,confirm_taken
um yea,confirm_taken
um yeah,confirm_taken
um yep,confirm_taken
um Yes,confirm_taken
um yes I did,confirm_taken
"um yes, i have taken my dose",confirm_taken
"um yes, i have taken my dose.",confirm_taken
"um Yes, I have taken my medication",confirm_taken
"um Yes, I have taken my medication!",confirm_taken
"um Yes, I have taken my medicine",confirm_taken
um yessir,confirm_taken
um yis,confirm_taken
um yiss,confirm_taken
um you bet,confirm_taken
um you got it,confirm_taken
absolutely not,deny_taken
ain't doing that,deny_taken
Can we not?,deny_taken
count me out,deny_taken
definitely not,deny_taken
Doesn't work for me,deny_taken
heck nah,deny_taken
heck no,deny_taken
hell na,deny_taken
hell nah,deny_taken
hell no,deny_taken
I am not doing that,deny_taken
I can't,deny_taken
I can't right now,deny_taken
I did not,deny_taken
I did not get around to it.,deny_taken
I didn't,deny_taken
I did not think so,deny_taken
I did not do it,deny_taken
I didn't remember to,deny_taken
I don't think I did,deny_taken
think not,deny_taken
I think not,deny_taken
I didn't remember,deny_taken
I don't think so,deny_taken
I forgot,deny_taken
I have not,deny_taken
I have not had it,deny_taken
I have not,deny_taken
I have not done it,deny_taken
I have not done that,deny_taken
I have not taken it,deny_taken
I have not taken it yet,deny_taken
I have not yet,deny_taken
I missed it,deny_taken
I missed my dose,deny_taken
I missed that,deny_taken
I refuse,deny_taken
I refuse to do that,deny_taken
I skipped it.,deny_taken
I still haven't taken my meds.,deny_taken
I will not,deny_taken
I will not be doing that,deny_taken
I will not take it,deny_taken
I'd say no,deny_taken
I'll not,deny_taken
I'll not do that,deny_taken
Nah I am not going to,deny_taken
I'm holding off,deny_taken
I'm not doing that,deny_taken
I'm not going to,deny_taken
I'm not going to do that,deny_taken
I'm not going to take it,deny_taken
I'm not gonna take it,deny_taken
I'm not ready,deny_taken
I'm not taking it,deny_taken
I'm not up for that,deny_taken
I don t,deny_taken
It's pending,deny_taken
It's still pending,deny_taken
I've decided not to,deny_taken
na,deny_taken
Na uh,deny_taken
nada,deny_taken
Nah,deny_taken
Nah!,deny_taken
"Nah, I forgot.",deny_taken
Nah.,deny_taken
naw,deny_taken
nay,deny_taken
Negative,deny_taken
Negative.,deny_taken
no can do,deny_taken
no chance,deny_taken
no fucking way,deny_taken
No I did not,deny_taken
No I didn't,deny_taken
No I have not,deny_taken
No I haven't,deny_taken
No I haven't done it yet,deny_taken
No I haven't done that,deny_taken
No I haven't done that yet,deny_taken
No not happening,deny_taken
no way,deny_taken
"No, I didn't take it.",deny_taken
"No, not yet",deny_taken
"No, not yet!",deny_taken
"No, not yet.",deny_taken
nooo,deny_taken
Nope,deny_taken
nope nope,deny_taken
Nope.,deny_taken
not,deny_taken
not at all,deny_taken
Not at all.,deny_taken
Not done,deny_taken
not even close,deny_taken
Not happening,deny_taken
"Not now, thanks",deny_taken
Not this time,deny_taken
Not yet,deny_taken
Not yet!,deny_taken
nuh uh,deny_taken
nuh-uh,deny_taken
out of the question,deny_taken
not doing,deny_taken
Still haven't,deny_taken
Still haven't.,deny_taken
that is a no,deny_taken
that'll be a no,deny_taken
no way,deny_taken
that's a no,deny_taken
That's a no from me,deny_taken
There's no way,deny_taken
uh I ain't doing that,deny_taken
uh I'm not,deny_taken
uh nah,deny_taken
uh uh,deny_taken
"uh, no",deny_taken
uh-uh,deny_taken
"um, I haven't",deny_taken
uh Negative,deny_taken
uh Negative.,deny_taken
uh no can do,deny_taken
uh no chance,deny_taken
uh no fucking way,deny_taken
uh No I did not,deny_taken
uh No I didn't,deny_taken
uh No I have not,deny_taken
uh No I haven't,deny_taken
uh No I haven't done it yet,deny_taken
uh No I haven't done that,deny_taken
uh No I haven't done that yet,deny_taken
uh No not happening,deny_taken
uh no way,deny_taken
"uh No, I didn't take it.",deny_taken
"uh No, not yet",deny_taken
"uh No, not yet!",deny_taken
"uh No, not yet.",deny_taken
uh nooo,deny_taken
uh Nope,deny_taken
uh nope nope,deny_taken
uh Nope.,deny_taken
uh not,deny_taken
uh not at all,deny_taken
uh Not at all.,deny_taken
uh Not done,deny_taken
uh not even close,deny_taken
um Nah!,deny_taken
"um Nah, I forgot.",deny_taken
um Nah.,deny_taken
um naw,deny_taken
um nay,deny_taken
um Negative,deny_taken
um Negative.,deny_taken
um no can do,deny_taken
um no chance,deny_taken
um no fucking way,deny_taken
um No I did not,deny_taken
um No I didn't,deny_taken
um No I have not,deny_taken
um No I haven't,deny_taken
um No I haven't done it yet,deny_taken
um No I haven't done that,deny_taken
um No I haven't done that yet,deny_taken
um No not happening,deny_taken
um no way,deny_taken
"um No, I didn't take it.",deny_taken
"um No, not yet",deny_taken
"um No, not yet!",deny_taken
"um No, not yet.",deny_taken
um nooo,deny_taken
um Nope,deny_taken
um nope nope,deny_taken
um Nope.,deny_taken
um not,deny_taken
um not at all,deny_taken
um Not at all.,deny_taken
um Not done,deny_taken
um not even close,deny_taken
um Not happening,deny_taken
"um Not now, thanks",deny_taken
um Not this time,deny_taken
um Not yet,deny_taken
um Not yet!,deny_taken
um nuh uh,deny_taken
um nuh-uh,deny_taken
um out of the question,deny_taken
no way jose,deny_taken
um Still haven't,deny_taken
um Still haven't.,deny_taken
um that is a no,deny_taken
um that'll be a no,deny_taken
um that'll be a negative,deny_taken
um that's a no,deny_taken
um That's a no from me,deny_taken
um There's no way,deny_taken
Chicken Jocky!,irrelevant
cooking food in the sun,irrelevant
baking in the oven,irrelevant
washing clothes in the washing machine,irrelevant
using vacuum to clean house,irrelevant
clean my shoes with shoe polish,irrelevant
making new pants,irrelevant
closing my laptop,irrelevant
charging my phone,irrelevant
flush the toilet,irrelevant
jump on the plane,irrelevant
frying in a frying pan,irrelevant
mouse by the computer,irrelevant
Kendrick Lamar is a terrible rapper,irrelevant
twitter is a shitty site,irrelevant
I love chips,irrelevant
soap makes bubbles,irrelevant
Jim Carrey was great in 'The cable guy',irrelevant
The ice cream melts if heated,irrelevant
Can you recommend a good movie?,irrelevant
Is the sky not so beautiful,irrelevant
Height of the Mount Everest increases,irrelevant
Play some music.,irrelevant
Inform me about outer space.,irrelevant
Black is not that good of a colour personally,irrelevant
White is right,irrelevant
All cultures are not equal,irrelevant
the 14 words are important,irrelevant
88 is one of the best repeating numbers,irrelevant
Who won the game last night?,irrelevant
Convert miles to kilometers.,irrelevant
Batman is better than Superman,irrelevant
Tell me a story.,irrelevant
The day that Artificial Intelligence takes over I want you to dominate me,irrelevant
"How do you spell ""supercalifragilisticexpialidocious""?",irrelevant
Square root of 144?,irrelevant
There must be something better to do that to sit around,irrelevant
"Real eyes, realize, real lies",irrelevant
The girl I love lives in Chicago,irrelevant
Do you like pizza?,irrelevant
Man I hate being sober,irrelevant
The cheese is under the sauce in a chicago pizza,irrelevant
You must not listen to strangers,irrelevant
The number of candles on your birthday cake is your age.,irrelevant
Put your pussy on the phone,irrelevant
Tell me something interesting.,irrelevant
How do birds fly?,irrelevant
Is the rain aicidic or is she standing above me,irrelevant
"Define ""ephemeral.""",irrelevant
I am one with the world,irrelevant
How does a computer work?,irrelevant
Sing me a song.,irrelevant
What's the meaning of life?,irrelevant
What's your purpose?,irrelevant
Can you learn?,irrelevant
Are you human?,irrelevant
What's your favorite food?,irrelevant
Does the sun stop existing at night?,irrelevant
Who built the pyramids?,irrelevant
What's the sound of one hand clapping?,irrelevant
Tell me a riddle.,irrelevant
Your opinion on politics?,irrelevant
The pet store is a place where you buy pets,irrelevant
How do I bake a cake?,irrelevant
Stock market is no less than a casino,irrelevant
Who was Shakespeare?,irrelevant
How far is the moon?,irrelevant
What's the latest news?,irrelevant
What are clouds made of?,irrelevant
What's the fastest car?,irrelevant
Explain the functioning of planes to me,irrelevant
What's a black hole?,irrelevant
What's the most common language?,irrelevant
Tell me about quantum physics.,irrelevant
How do plants grow?,irrelevant
What's the history of the internet?,irrelevant
What's the best way to travel?,irrelevant
What's the largest ocean?,irrelevant
Tell me about ancient Rome.,irrelevant
What's a proverb?,irrelevant
How do volcanoes erupt?,irrelevant
What's your programming language?,irrelevant
Do you have a family?,irrelevant
What's the most beautiful place?,irrelevant
How do magnets work?,irrelevant
What's global warming?,irrelevant
Tell me about robots.,irrelevant
What's the definition of happiness?,irrelevant
How do bees make honey?,irrelevant
What's the smallest country?,irrelevant
Tell me about constellations.,irrelevant
What's the sound barrier?,irrelevant
How do waves form?,irrelevant
What's plate tectonics?,irrelevant
Tell me about famous paintings.,irrelevant
What's the difference between weather and climate?,irrelevant
How do mirrors work?,irrelevant
Where is the oldest city?,irrelevant
Tell me about the Amazon rainforest.,irrelevant
Is the theory of relativity relatable?,irrelevant
How do batteries work?,irrelevant
Does Canada have real people?,irrelevant
Tell me about space exploration.,irrelevant
lets hear a sonnet,irrelevant
How do diamonds form?,irrelevant
What's the most populated country?,irrelevant
Tell me about mythical creatures.,irrelevant
What's a galaxy?,irrelevant
How do bridges stay up?,irrelevant
What's the longest river?,irrelevant
Tell me about famous scientists.,irrelevant
What's a solar eclipse?,irrelevant
How do echoes work?,irrelevant
What's the fastest land animal?,irrelevant
Tell me about the Great Wall of China.,irrelevant
What's photosynthesis?,irrelevant
How do rainbows appear?,irrelevant
What's the largest desert?,irrelevant
Tell me about different types of music.,irrelevant
What's a paradox?,irrelevant
How do cameras work?,irrelevant
What's a tornado?,irrelevant
Play my favorite song,irrelevant
Turn on the living room light,irrelevant
What is the weather like hong kong?,irrelevant
Open twitter,irrelevant
Tell me a story,irrelevant
Crytpocurrency is real and I am a retard,irrelevant
Translate hello to Spanish,irrelevant
water the plants,irrelevant
Order me a pizza,irrelevant
Define existentialism,irrelevant
Who won the game last night?,irrelevant
How far is the moon?,irrelevant
Show me cat videos,irrelevant
Book a taxi,irrelevant
What is traffic like on my route?,irrelevant
Read my emails,irrelevant
I have to watch a movie,irrelevant
